"Country.or.Area","Subgroup","Source","1999","2000","2001","2002","2003","2004","2005"
"Afghanistan","Female","UNESCO_UIS Database_Sep2007",0,0,0,99473,99473,96740,152216
"Afghanistan","Male","UNESCO_UIS Database_Sep2007",362415,362415,362415,307422,307422,497566,499237
"Albania","Female","UNESCO_UIS Database_Sep2007",176045,177264,183877,180525,191295,190363,190363
"Albania","Male","UNESCO_UIS Database_Sep2007",187457,186425,193321,202254,204844,206693,206693
"Algeria","Female","UNESCO_UIS Database_Sep2007",1715721,1715721,1715721,1715721,1793152,1863415,1905649
"Algeria","Male","UNESCO_UIS Database_Sep2007",1708487,1708487,1708487,1708487,1755332,1813692,1850172
"Andorra","Female","UNESCO_UIS Database_Sep2007",1574,1574,1574,1574,1604,1622,1879
"Andorra","Male","UNESCO_UIS Database_Sep2007",1558,1558,1558,1558,1590,1628,1858
"Angola","Female","UNESCO_UIS Database_Sep2007",136803,160963,182772,182772,182772,182772,182772
"Angola","Male","UNESCO_UIS Database_Sep2007",163677,194021,230923,230923,230923,230923,230923
"Anguilla","Female","UNESCO_UIS Database_Sep2007",517,557,559,552,558,550,517
"Anguilla","Male","UNESCO_UIS Database_Sep2007",463,542,537,521,542,526,507
"Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",2651,2651,2651,2651,2651,2651,2651
"Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",2625,2625,2625,2625,2625,2625,2625
"Argentina","Female","UNESCO_UIS Database_Sep2007",1896924,1950550,2007901,2015520,1782804,1788975,1788975
"Argentina","Male","UNESCO_UIS Database_Sep2007",1825525,1881708,1945776,1960693,1716377,1727390,1727390
"Armenia","Female","UNESCO_UIS Database_Sep2007",192213,192213,195066,191796,181720,195223,181263
"Armenia","Male","UNESCO_UIS Database_Sep2007",197429,197429,189099,185920,183275,197352,184137
"Aruba","Female","UNESCO_UIS Database_Sep2007",3134,3120,3282,3479,3543,3525,3611
"Aruba","Male","UNESCO_UIS Database_Sep2007",3025,3058,3146,3278,3326,3448,3505
"Australia","Female","UNESCO_UIS Database_Sep2007",1215766,1266000,1209601,1206809,1235670,1190189,1185171
"Australia","Male","UNESCO_UIS Database_Sep2007",1275638,1323474,1290075,1306861,1333121,1302046,1306286
"Austria","Female","UNESCO_UIS Database_Sep2007",355858,357194,357420,359120,362790,364880,371313
"Austria","Male","UNESCO_UIS Database_Sep2007",391823,391465,391715,396461,401636,405511,409979
"Azerbaijan","Female","UNESCO_UIS Database_Sep2007",453997,462238,490082,500117,524535,520947,512201
"Azerbaijan","Male","UNESCO_UIS Database_Sep2007",475068,483155,530049,540058,569852,564685,557779
"Bahamas","Female","UNESCO_UIS Database_Sep2007",13154,13135,13423,16182,15074,15312,15950
"Bahamas","Male","UNESCO_UIS Database_Sep2007",13460,13960,14337,15531,14911,15545,16139
"Bahrain","Female","UNESCO_UIS Database_Sep2007",29903,30919,31705,32671,33712,34743,35799
"Bahrain","Male","UNESCO_UIS Database_Sep2007",28901,30139,30516,31768,33448,34895,35846
"Bangladesh","Female","UNESCO_UIS Database_Sep2007",4830465,5131448,5443809,5659714,5670931,5133771,5133771
"Bangladesh","Male","UNESCO_UIS Database_Sep2007",5081853,5197617,5246933,5364612,5380303,5220989,5220989
"Barbados","Female","UNESCO_UIS Database_Sep2007",11061,10562,10311,10316,10418,10576,10570
"Barbados","Male","UNESCO_UIS Database_Sep2007",10780,10454,10555,10556,10529,10724,10848
"Belarus","Female","UNESCO_UIS Database_Sep2007",491132,499342,494939,488377,494484,476200,455967
"Belarus","Male","UNESCO_UIS Database_Sep2007",487364,502415,497455,493853,503276,493568,472521
"Belgium","Female","UNESCO_UIS Database_Sep2007",523256,541800,578670,593536,605519,387031,391138
"Belgium","Male","UNESCO_UIS Database_Sep2007",510228,515736,546586,555793,575808,418747,423401
"Belize","Female","UNESCO_UIS Database_Sep2007",11097,11820,12401,12888,14109,15702,15591
"Belize","Male","UNESCO_UIS Database_Sep2007",10562,11415,11994,12716,13771,15522,15786
"Benin","Female","UNESCO_UIS Database_Sep2007",66945,71442,81662,91345,98433,109184,154266
"Benin","Male","UNESCO_UIS Database_Sep2007",146529,157786,175082,195947,213994,235706,281183
"Bermuda","Female","UNESCO_UIS Database_Sep2007",2334,2334,2334,2350,2444,2549,2494
"Bermuda","Male","UNESCO_UIS Database_Sep2007",2232,2232,2232,2215,2216,2254,2262
"Bhutan","Female","UNESCO_UIS Database_Sep2007",8885,10423,11964,13258,13258,19870,19870
"Bhutan","Male","UNESCO_UIS Database_Sep2007",11238,12878,14347,15936,15936,22274,22274
"Bolivia","Female","UNESCO_UIS Database_Sep2007",394905,422972,447647,481680,507903,507903,507903
"Bolivia","Male","UNESCO_UIS Database_Sep2007",434854,453869,478543,514897,540978,540978,540978
"Botswana","Female","UNESCO_UIS Database_Sep2007",81132,83057,83281,84909,85785,86559,84214
"Botswana","Male","UNESCO_UIS Database_Sep2007",76583,79606,80073,81091,81130,83168,81163
"Brazil","Female","UNESCO_UIS Database_Sep2007",12943725,13475477,13642601,13811953,12726010,12964314,12964314
"Brazil","Male","UNESCO_UIS Database_Sep2007",12039174,12621393,12798647,12977257,11866559,12163189,12163189
"British Virgin Islands","Female","UNESCO_UIS Database_Sep2007",707,776,796,804,877,890,1020
"British Virgin Islands","Male","UNESCO_UIS Database_Sep2007",804,767,766,789,756,817,862
"Brunei","Female","UNESCO_UIS Database_Sep2007",17472,17572,18345,19051,19726,20676,21434
"Brunei","Male","UNESCO_UIS Database_Sep2007",16954,17637,18641,19641,20296,21491,22466
"Bulgaria","Female","UNESCO_UIS Database_Sep2007",337487,335110,335009,333735,340145,336281,326734
"Bulgaria","Male","UNESCO_UIS Database_Sep2007",362470,360963,360465,359554,367106,368397,358906
"Burkina Faso","Female","UNESCO_UIS Database_Sep2007",65018,73887,78027,80201,94598,107200,120331
"Burkina Faso","Male","UNESCO_UIS Database_Sep2007",108187,115802,121251,124646,142316,158308,175081
"Burundi","Female","UNESCO_UIS Database_Sep2007",56263,56263,56263,56263,56263,65523,74001
"Burundi","Male","UNESCO_UIS Database_Sep2007",72941,72941,72941,72941,72941,86728,99716
"Cambodia","Female","UNESCO_UIS Database_Sep2007",109272,122613,141461,175856,215017,253999,253999
"Cambodia","Male","UNESCO_UIS Database_Sep2007",208829,228744,255415,299781,345180,377509,377509
"Cameroon","Female","UNESCO_UIS Database_Sep2007",281724,373747,373747,396511,416479,475323,528734
"Cameroon","Male","UNESCO_UIS Database_Sep2007",344329,474469,474469,535690,603479,685634,668771
"Canada","Female","UNESCO_UIS Database_Sep2007",1274114,1274114,1316517,1316517,1441508,1441508,1441508
"Canada","Male","UNESCO_UIS Database_Sep2007",1347343,1347343,1392508,1392508,1557736,1557736,1557736
"Cape Verde","Female","UNESCO_UIS Database_Sep2007",23402,23402,23402,24481,25736,25980,26719
"Cape Verde","Male","UNESCO_UIS Database_Sep2007",22552,22552,22552,23574,23786,23810,24953
"Cayman Islands","Female","UNESCO_UIS Database_Sep2007",1041,1153,1132,1181,1373,1373,1349
"Cayman Islands","Male","UNESCO_UIS Database_Sep2007",1110,1189,1205,1160,1328,1328,1475
"Chad","Female","UNESCO_UIS Database_Sep2007",25530,30338,31390,45982,51567,56408,58597
"Chad","Male","UNESCO_UIS Database_Sep2007",97878,106931,110641,139014,161065,171448,178157
"Chile","Female","UNESCO_UIS Database_Sep2007",654039,691798,742407,742407,770414,789503,806280
"Chile","Male","UNESCO_UIS Database_Sep2007",650640,699485,754530,754530,786706,805463,823819
"China","Female","UNESCO_UIS Database_Sep2007",40451399,40451399,40451399,44795617,44795617,46880699,47803801
"China","Male","UNESCO_UIS Database_Sep2007",46065312,46065312,46065312,50829144,50829144,51882104,52828124
"Colombia","Female","UNESCO_UIS Database_Sep2007",1856454,1838765,1742298,1920661,1953681,2092086,2215876
"Colombia","Male","UNESCO_UIS Database_Sep2007",1732971,1730124,1635656,1802687,1835310,1958439,2081352
"Comoros","Female","UNESCO_UIS Database_Sep2007",12731,12515,15338,15338,17193,18254,18428
"Comoros","Male","UNESCO_UIS Database_Sep2007",15987,15607,18536,18536,21079,24665,24921
"Congo","Female","UNESCO_UIS Database_Sep2007",70921,70921,82173,82173,82638,107145,107145
"Congo","Male","UNESCO_UIS Database_Sep2007",102059,102059,111928,111928,121458,128149,128149
"Congo Dem. Rep.","Female","UNESCO_UIS Database_Sep2007",423320,430034,591465,591465,606895,606895,606895
"Congo Dem. Rep.","Male","UNESCO_UIS Database_Sep2007",811208,823012,1021375,1021375,1048128,1048128,1048128
"Cook Islands","Female","UNESCO_UIS Database_Sep2007",876,862,909,922,920,924,924
"Cook Islands","Male","UNESCO_UIS Database_Sep2007",875,842,895,959,971,977,977
"Costa Rica","Female","UNESCO_UIS Database_Sep2007",119982,129889,141573,145824,154397,170004,173715
"Costa Rica","Male","UNESCO_UIS Database_Sep2007",115443,125754,138768,143141,151543,169759,173529
"Côte d’Ivoire","Female","UNESCO_UIS Database_Sep2007",206556,217503,235590,262446,262446,262446,262446
"Côte d’Ivoire","Male","UNESCO_UIS Database_Sep2007",384993,402466,428046,474203,474203,474203,474203
"Croatia","Female","UNESCO_UIS Database_Sep2007",205428,202782,200088,198511,197231,197231,197231
"Croatia","Male","UNESCO_UIS Database_Sep2007",210960,207625,205076,203410,202614,202614,202614
"Cuba","Female","UNESCO_UIS Database_Sep2007",372462,394301,418406,434840,453140,457991,460195
"Cuba","Male","UNESCO_UIS Database_Sep2007",367518,395626,418236,460902,484907,474347,477298
