"","Countrycode","Country.or.Area","Subgroup","Source","Year","Value","Region"
"1","ABW","Aruba","Male","UNESCO_UIS Database_Sep2007",1999,3025,"Latin America & Caribbean"
"2","ABW","Aruba","Female","UNESCO_UIS Database_Sep2007",2004,3525,"Latin America & Caribbean"
"3","ABW","Aruba","Female","UNESCO_UIS Database_Sep2007",1999,3134,"Latin America & Caribbean"
"4","ABW","Aruba","Female","UNESCO_UIS Database_Sep2007",2000,3120,"Latin America & Caribbean"
"5","ABW","Aruba","Female","UNESCO_UIS Database_Sep2007",2001,3282,"Latin America & Caribbean"
"6","ABW","Aruba","Female","UNESCO_UIS Database_Sep2007",2003,3543,"Latin America & Caribbean"
"7","ABW","Aruba","Male","UNESCO_UIS Database_Sep2007",2001,3146,"Latin America & Caribbean"
"8","ABW","Aruba","Male","UNESCO_UIS Database_Sep2007",2000,3058,"Latin America & Caribbean"
"9","ABW","Aruba","Female","UNESCO_UIS Database_Sep2007",2005,3611,"Latin America & Caribbean"
"10","ABW","Aruba","Male","UNESCO_UIS Database_Sep2007",2005,3505,"Latin America & Caribbean"
"11","ABW","Aruba","Male","UNESCO_UIS Database_Sep2007",2003,3326,"Latin America & Caribbean"
"12","ABW","Aruba","Male","UNESCO_UIS Database_Sep2007",2002,3278,"Latin America & Caribbean"
"13","ABW","Aruba","Female","UNESCO_UIS Database_Sep2007",2002,3479,"Latin America & Caribbean"
"14","ABW","Aruba","Male","UNESCO_UIS Database_Sep2007",2004,3448,"Latin America & Caribbean"
"15","AFG","Afghanistan","Male","UNESCO_UIS Database_Sep2007",2003,307422,"South Asia"
"16","AFG","Afghanistan","Male","UNESCO_UIS Database_Sep2007",2004,497566,"South Asia"
"17","AFG","Afghanistan","Female","UNESCO_UIS Database_Sep2007",2005,152216,"South Asia"
"18","AFG","Afghanistan","Male","UNESCO_UIS Database_Sep2007",2002,307422,"South Asia"
"19","AFG","Afghanistan","Female","UNESCO_UIS Database_Sep2007",2003,99473,"South Asia"
"20","AFG","Afghanistan","Female","UNESCO_UIS Database_Sep2007",2004,96740,"South Asia"
"21","AFG","Afghanistan","Female","UNESCO_UIS Database_Sep2007",1999,0,"South Asia"
"22","AFG","Afghanistan","Male","UNESCO_UIS Database_Sep2007",1999,362415,"South Asia"
"23","AFG","Afghanistan","Male","UNESCO_UIS Database_Sep2007",2000,362415,"South Asia"
"24","AFG","Afghanistan","Male","UNESCO_UIS Database_Sep2007",2001,362415,"South Asia"
"25","AFG","Afghanistan","Male","UNESCO_UIS Database_Sep2007",2005,499237,"South Asia"
"26","AFG","Afghanistan","Female","UNESCO_UIS Database_Sep2007",2002,99473,"South Asia"
"27","AFG","Afghanistan","Female","UNESCO_UIS Database_Sep2007",2001,0,"South Asia"
"28","AFG","Afghanistan","Female","UNESCO_UIS Database_Sep2007",2000,0,"South Asia"
"29","AGO","Angola","Male","UNESCO_UIS Database_Sep2007",2000,194021,"Sub-Saharan Africa"
"30","AGO","Angola","Female","UNESCO_UIS Database_Sep2007",2001,182772,"Sub-Saharan Africa"
"31","AGO","Angola","Female","UNESCO_UIS Database_Sep2007",2002,182772,"Sub-Saharan Africa"
"32","AGO","Angola","Female","UNESCO_UIS Database_Sep2007",2003,182772,"Sub-Saharan Africa"
"33","AGO","Angola","Female","UNESCO_UIS Database_Sep2007",2004,182772,"Sub-Saharan Africa"
"34","AGO","Angola","Female","UNESCO_UIS Database_Sep2007",2005,182772,"Sub-Saharan Africa"
"35","AGO","Angola","Male","UNESCO_UIS Database_Sep2007",1999,163677,"Sub-Saharan Africa"
"36","AGO","Angola","Male","UNESCO_UIS Database_Sep2007",2002,230923,"Sub-Saharan Africa"
"37","AGO","Angola","Male","UNESCO_UIS Database_Sep2007",2003,230923,"Sub-Saharan Africa"
"38","AGO","Angola","Male","UNESCO_UIS Database_Sep2007",2001,230923,"Sub-Saharan Africa"
"39","AGO","Angola","Female","UNESCO_UIS Database_Sep2007",1999,136803,"Sub-Saharan Africa"
"40","AGO","Angola","Male","UNESCO_UIS Database_Sep2007",2005,230923,"Sub-Saharan Africa"
"41","AGO","Angola","Male","UNESCO_UIS Database_Sep2007",2004,230923,"Sub-Saharan Africa"
"42","AGO","Angola","Female","UNESCO_UIS Database_Sep2007",2000,160963,"Sub-Saharan Africa"
"43","AIA","Anguilla","Female","UNESCO_UIS Database_Sep2007",2005,517,"Latin America & Caribbean"
"44","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",1999,463,"Latin America & Caribbean"
"45","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2000,542,"Latin America & Caribbean"
"46","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2001,537,"Latin America & Caribbean"
"47","AIA","Anguilla","Female","UNESCO_UIS Database_Sep2007",1999,517,"Latin America & Caribbean"
"48","AIA","Anguilla","Female","UNESCO_UIS Database_Sep2007",2000,557,"Latin America & Caribbean"
"49","AIA","Anguilla","Female","UNESCO_UIS Database_Sep2007",2001,559,"Latin America & Caribbean"
"50","AIA","Anguilla","Female","UNESCO_UIS Database_Sep2007",2002,552,"Latin America & Caribbean"
"51","AIA","Anguilla","Female","UNESCO_UIS Database_Sep2007",2003,558,"Latin America & Caribbean"
"52","AIA","Anguilla","Female","UNESCO_UIS Database_Sep2007",2004,550,"Latin America & Caribbean"
"53","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2002,521,"Latin America & Caribbean"
"54","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2003,542,"Latin America & Caribbean"
"55","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2004,526,"Latin America & Caribbean"
"56","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2005,507,"Latin America & Caribbean"
"57","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2002,202254,"Europe & Central Asia"
"58","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2004,190363,"Europe & Central Asia"
"59","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2005,190363,"Europe & Central Asia"
"60","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2003,191295,"Europe & Central Asia"
"61","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2001,193321,"Europe & Central Asia"
"62","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2000,177264,"Europe & Central Asia"
"63","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",1999,187457,"Europe & Central Asia"
"64","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2000,186425,"Europe & Central Asia"
"65","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",1999,176045,"Europe & Central Asia"
"66","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2004,206693,"Europe & Central Asia"
"67","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2005,206693,"Europe & Central Asia"
"68","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2003,204844,"Europe & Central Asia"
"69","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2002,180525,"Europe & Central Asia"
"70","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2001,183877,"Europe & Central Asia"
"71","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",1999,1558,"Europe & Central Asia"
"72","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2000,1558,"Europe & Central Asia"
"73","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2000,1574,"Europe & Central Asia"
"74","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2001,1574,"Europe & Central Asia"
"75","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2002,1574,"Europe & Central Asia"
"76","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2003,1604,"Europe & Central Asia"
"77","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2004,1622,"Europe & Central Asia"
"78","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2005,1879,"Europe & Central Asia"
"79","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2002,1558,"Europe & Central Asia"
"80","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2001,1558,"Europe & Central Asia"
"81","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",1999,1574,"Europe & Central Asia"
"82","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2004,1628,"Europe & Central Asia"
"83","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2003,1590,"Europe & Central Asia"
"84","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2005,1858,"Europe & Central Asia"
"85","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2001,7703,"Europe & Central Asia"
"86","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2002,7880,"Europe & Central Asia"
"87","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2003,7960,"Europe & Central Asia"
"88","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2004,7960,"Europe & Central Asia"
"89","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2005,7960,"Europe & Central Asia"
"90","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",1999,7149,"Europe & Central Asia"
